symbol,company,category,sleeve,trade_type,current_price,target_price,quality_score,momentum_score,catalyst_score,risk_score,confidence,notes,price_source,target_source,estimate_source,sentiment_source,eps_estimate,revenue_estimate,news_sentiment,provider_notes
NVDA,NVIDIA,Mega-cap AI/platform,long_term,long_term,212.6000,309.7200,98,94,96,76,High,AI infrastructure leader with exceptional revenue and earnings growth; high valuation and volatility.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
META,Meta Platforms,Mega-cap AI/platform,long_term,long_term,635.2550,824.2200,92,88,86,78,High,AI-enabled ad platform and strong cash generation; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
MSFT,Microsoft,Mega-cap AI/platform,long_term,long_term,412.6700,551.9600,96,84,84,88,High,Durable cloud and AI platform; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
SNOW,Snowflake,Cybersecurity/cloud/software,long_term,long_term,175.2600,0,76,82,80,58,Medium,High-upside data cloud/software name; higher valuation and execution risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AMZN,Amazon,Mega-cap AI/platform,long_term,long_term,271.8500,306.7400,90,82,82,80,High,AWS and advertising upside; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
MDB,MongoDB,Cybersecurity/cloud/software,long_term,long_term,294.4600,0,74,78,74,56,Medium,Developer data platform with upside but higher software multiple risk.,Alpha Vantage,Needs paid target provider,,Alpha Vantage,,,-0.005,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
TSM,Taiwan Semiconductor,Semiconductors,long_term,long_term,422.7750,427.5000,88,78,80,66,Medium,Foundry leader tied to AI chip demand; geopolitical risk.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AVGO,Broadcom,Mega-cap AI/platform,long_term,long_term,421.8600,0,90,80,80,76,High,AI networking/custom silicon plus software cash flow; target inputs need refresh.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
GOOGL,Alphabet,Mega-cap AI/platform,long_term,long_term,388.8300,410.0000,88,76,76,82,High,"Search, cloud, and AI model/platform exposure; target inputs need refresh.",FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
NET,Cloudflare,Cybersecurity/cloud/software,short_term,weekly_swing,217.5400,0,72,76,74,54,Medium,High-growth edge/security platform; valuation sensitivity.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
