source_name,source_category,official_url,feed_url,access_model,implementation_status,planned_use,next_step,user_action_needed
Hard Fork podcast,podcast,https://podcasts.apple.com/gb/podcast/hard-fork/id1528594034,https://feeds.simplecast.com/6HKOhNgS,subscription_or_public_podcast,public_feed_ingestion_added,AI platform and regulatory context for mega-cap AI names,Use verified public RSS feed; add transcript source later if feed summaries are not enough,Confirm preferred transcript source if NYT/Simplecast feed text is insufficient
AI Daily Brief podcast,podcast,https://aidailybrief.beehiiv.com/,,public_podcast,public_feed_ingestion_added,Daily AI ecosystem context and catalyst discovery,Use Beehiiv public archive posts first; fall back to podcast RSS if needed,Confirmed Beehiiv archive is the preferred public source
SemiAnalysis newsletter,newsletter,https://semianalysis.com/,https://semianalysis.com/feed/,free_plus_paid_newsletter,public_feed_ingestion_added,AI infrastructure semiconductor datacenter thesis context,Use verified public RSS feed; paid/member-only content may need manual or email access later,Subscribe or confirm access method for full paid content
The Information AI newsletter,newsletter,https://www.theinformation.com/newsletters,,paid_newsletter_candidate,public_feed_ingestion_added,AI business model startup platform and tech-company reporting,Use public archive discovery first; paid content may need subscription or email access,Confirm subscription and allowed email/source access
The Batch newsletter,newsletter,https://www.deeplearning.ai/the-batch/,,free_newsletter,public_feed_ingestion_added,AI research industry and model ecosystem context,Needs explicit archive parser or official feed URL because generic RSS discovery did not produce parseable items,Provide/confirm feed URL if you find one; otherwise build archive-page parser
Import AI newsletter,newsletter,https://importai.substack.com/,https://importai.substack.com/feed,free_plus_paid_newsletter,public_feed_ingestion_added,AI policy frontier-model and strategic context,Use verified public RSS feed,Subscribe or approve public archive ingestion
TLDR AI newsletter,newsletter,https://tldr.tech/ai,https://tldr.tech/api/rss/ai,free_newsletter,public_feed_ingestion_added,Fast AI headline triage and catalyst discovery,Use verified public RSS feed,Subscribe or approve public archive ingestion
Platformer newsletter,newsletter,https://www.platformer.news/,https://www.platformer.news/feed,free_plus_paid_newsletter,public_feed_ingestion_added,Tech platform AI and policy reporting context,Use verified public RSS feed; paid/member-only content may need manual or email access later,Subscribe or confirm access method for full paid content
Benzinga news,paid_news_candidate,https://docs.benzinga.com/introduction/introduction,,paid_api_candidate,not_implemented,Market-moving news and why-it-moved context,Decide whether to request API pricing or trial,Provide API key if purchased
Benzinga analyst ratings,paid_analyst_candidate,https://www.benzinga.com/apis/de/,,paid_api_candidate,importer_added_key_needed,Analyst ratings upgrades downgrades and target-context enrichment,Run scripts/ingest_benzinga_analyst_targets.py after adding BENZINGA_API_KEY,Provide API key if purchased
Benzinga unusual options,paid_options_candidate,https://www.benzinga.com/apis/de/,,paid_api_candidate,not_implemented,Short-term unusual options alert context,Compare with Unusual Whales before purchasing,Provide API key if purchased
Unusual Whales options flow,paid_options_flow,https://unusualwhales.com/public-api,,paid_api_candidate,not_implemented,Short-term options-flow and volatility context,Evaluate API token cost and endpoint fit for V1 short-term queue,Provide API token if purchased
